author,comment_count,posting_rate,avg_text_similarity,std_text_length,duplicate_ratio,degree_centrality,buzzer_score,buzzer_category,isolation_forest_score,ml_buzzer_label
@VeryIrawan-yl8zk,3,2.966218071958253,1.0000000000000002,0.0,0.6666666666666666,0.16908732293347678,7,High Suspicion,-0.8014252461069058,Suspected Buzzer
@NurZea-z4r,5,4.928806133625411,0.8255783599637644,1.0954451150103324,0.6,0.14434283665052897,7,High Suspicion,-0.813979118094721,Suspected Buzzer
@mairaqueenofficial7303,2,1.9731433269388876,1.0,0.0,0.5,0.23794154563385334,6,High Suspicion,-0.7869131836804237,Suspected Buzzer
@labibZaid-v2e,3,2.9916897506925206,1.0,0.0,0.6666666666666666,0.061323292092522866,6,High Suspicion,-0.7894196286586929,Suspected Buzzer
@susisusilawati2001,2,1.9977802441731412,1.0000000000000002,0.0,0.5,0.14792899408284024,6,High Suspicion,-0.7668911914928692,Suspected Buzzer
@Inara-m6h,2,1.999444598722577,1.0,0.0,0.5,0.23794154563385334,6,High Suspicion,-0.7858490744221021,Suspected Buzzer
@nusaybahshohwatulislami3459,3,2.993348115299335,1.0000000000000002,0.0,0.6666666666666666,0.012910166756320602,6,High Suspicion,-0.8020637875231109,Suspected Buzzer
@RinaSipayung-l8b,2,1.999444598722577,1.0000000000000002,0.0,0.5,0.0979020979020979,6,High Suspicion,-0.754208814054169,Suspected Buzzer
@AdyanNandana-t8w,4,4.0,1.0,0.0,0.75,0.002510310202617895,6,High Suspicion,-0.8075088408189055,Suspected Buzzer
@AdrianaWowiling,3,2.9925187032418954,1.0,0.0,0.6666666666666666,0.0611439842209073,6,High Suspicion,-0.7894196286586929,Suspected Buzzer
@BatoksaiNyasar,3,2.9047875201721354,0.0,0.5773502691896257,0.3333333333333333,0.13555675094136632,5,High Suspicion,-0.7696696748689111,Suspected Buzzer
@muhammadkusnadi9455,2,1.9639934533551555,1.0000000000000002,0.0,0.5,0.022234176080329928,5,High Suspicion,-0.7672866803194842,Suspected Buzzer
@TaufikHidayat-ri7wk,2,1.994459833795014,1.0000000000000002,0.0,0.5,0.0039447731755424065,5,High Suspicion,-0.7594253894515556,Suspected Buzzer
@GibranRmdn-k2u,2,1.991701244813278,1.0,0.0,0.5,0.0016137708445400753,5,High Suspicion,-0.7599393801373012,Suspected Buzzer
@zaitulnaziah,2,1.9753086419753088,1.0,0.0,0.5,0.0032275416890801506,5,High Suspicion,-0.7583984507692726,Suspected Buzzer
@NurulHasanah-r7q,2,1.9977802441731412,1.0000000000000002,0.0,0.5,0.002510310202617895,5,High Suspicion,-0.7614834403969013,Suspected Buzzer
@AlmaHyra-q2k,2,0.008988146881300285,1.0,0.0,0.5,0.0,5,High Suspicion,-0.729638719522345,Suspected Buzzer
@syieraayudia5618,2,1.9801980198019802,1.0000000000000002,0.0,0.5,0.0005379236148466918,5,High Suspicion,-0.7625145564284126,Suspected Buzzer
@AmungZajuly,2,1.9618528610354224,1.0000000000000002,0.0,0.5,0.0650887573964497,5,High Suspicion,-0.759659371615668,Suspected Buzzer
@anirahmawati8571,2,1.9747668678003292,1.0000000000000002,0.0,0.5,0.022772099695176618,5,High Suspicion,-0.765730852828102,Suspected Buzzer
@NatyHadjoh16,2,1.9709827539009033,1.0,0.0,0.5,0.0,5,High Suspicion,-0.7636050309879716,Suspected Buzzer
@IsakIsak-pl2sy,2,1.9052659433712622,1.0,0.0,0.5,0.0034068495606957147,5,High Suspicion,-0.7614834403969013,Suspected Buzzer
@KristianaSaja,3,2.974387221151198,0.5412781653437158,0.0,0.3333333333333333,0.09915725300340685,5,High Suspicion,-0.7695108097157284,Suspected Buzzer
@atiksudiarti8360,2,1.9939075048463029,1.0000000000000002,0.0,0.5,0.028689259458490227,5,High Suspicion,-0.7614447462537737,Suspected Buzzer
@Hamood766osas,2,1.9955654101995568,1.0000000000000004,0.0,0.5,0.0016137708445400753,5,High Suspicion,-0.7619988240029145,Suspected Buzzer
@irfanhaerudin4427,2,2.0,1.0000000000000002,0.0,0.5,0.010579164425318272,5,High Suspicion,-0.7629540582116082,Suspected Buzzer
@DwiPhoto84,2,1.999444598722577,1.0000000000000002,0.0,0.5,0.0650887573964497,5,High Suspicion,-0.7565817718181678,Suspected Buzzer
@AqilaFatimahAz-Zahra,4,3.7825059101654843,0.7392903322160179,11.5,0.5,0.002868925945849023,5,High Suspicion,-0.8381241591200308,Suspected Buzzer
@AwangBachok,2,1.9933554817275747,1.0,0.0,0.5,0.006455083378160301,5,High Suspicion,-0.758911746407256,Suspected Buzzer
@rinafarinarosa1331,3,2.9776674937965257,0.0,0.0,0.6666666666666666,0.0,4,High Suspicion,-0.7833861279879738,Suspected Buzzer
@RiniWarhamdini,2,0.14281747133732692,0.7092972666062738,1.4142135623730951,0.0,0.12479827864443249,4,High Suspicion,-0.745443167603837,Suspected Buzzer
@SriAndriyani-r9z,2,0.004599475148780245,0.7765145304745156,0.0,0.0,0.0979020979020979,4,High Suspicion,-0.6950536514603519,Suspected Buzzer
@Sulis-w3m,2,1.8977332630469161,0.0,0.0,0.5,0.0,3,Medium Suspicion,-0.7178295279863567,Suspected Buzzer
@HerikiswantoHeriorlando,2,1.9955654101995568,0.0,0.0,0.5,0.0,3,Medium Suspicion,-0.7258090035965097,Suspected Buzzer
@sadaruddintalang8532,2,1.986206896551724,0.0,0.0,0.5,0.0,3,Medium Suspicion,-0.7238473694666675,Suspected Buzzer
@supartikediri6577,2,1.978021978021978,0.7474073540060464,1.4142135623730951,0.0,0.05002689618074234,3,Medium Suspicion,-0.7266699650297581,Suspected Buzzer
@KayuMerah-o3b7fncvj,2,1.9829248141007987,0.0,0.0,0.5,0.0,3,Medium Suspicion,-0.7243372804058791,Suspected Buzzer
@RajveerSingh-hx4dz,2,1.990599944705557,0.7765145304745156,0.7071067811865476,0.0,0.0010758472296933837,3,Medium Suspicion,-0.7167252701714819,Suspected Buzzer
@Marselo-l3v,2,1.988400994200497,0.7327068970668786,0.7071067811865476,0.0,0.05146135915366685,3,Medium Suspicion,-0.7216687395750945,Suspected Buzzer
@KeyzaSafitri-l5p,2,1.9988895058300942,0.0,0.0,0.5,0.0,3,Medium Suspicion,-0.7258090035965097,Suspected Buzzer
@munirmuhayyang1721,2,1.9867549668874174,0.0,0.0,0.5,0.0,3,Medium Suspicion,-0.7238473694666675,Suspected Buzzer
@UgiAjah-t1b,3,2.9686641011544803,0.3721474085354964,2.886751345948129,0.3333333333333333,0.012013627398242783,3,Medium Suspicion,-0.8009791907470395,Suspected Buzzer
@CINT414,2,1.9961186581646797,0.0,0.0,0.5,0.0,3,Medium Suspicion,-0.7258090035965097,Suspected Buzzer
@KinderNationalGeographic,2,1.9823788546255505,0.0,0.0,0.5,0.0,3,Medium Suspicion,-0.7242356493759864,Suspected Buzzer
@novayunita-e4r,2,0.15034453956984759,1.0000000000000002,0.7071067811865476,0.0,0.025820333512641205,3,Medium Suspicion,-0.7083722849310142,Suspected Buzzer
@MoenaQomarudin,2,0.0048202095318304545,0.8181802073667197,0.7071067811865476,0.0,0.05379236148466918,3,Medium Suspicion,-0.7143256058175188,Suspected Buzzer
@Miyukichan-p2c,2,1.9928037641848881,1.0000000000000002,0.7071067811865476,0.0,0.016137708445400755,3,Medium Suspicion,-0.7185173905729101,Suspected Buzzer
@SimonSodikin,2,0.013374844888951637,0.0,0.0,0.5,0.0,3,Medium Suspicion,-0.6978181329719778,Suspected Buzzer
@hardiman11-m1d,1,1.0,0.0,0.0,0.0,0.15187376725838264,2,Medium Suspicion,-0.4813395877147013,Normal User
@EpriEpria,1,1.0,0.0,0.0,0.0,0.23794154563385334,2,Medium Suspicion,-0.573346945431757,Suspected Buzzer
@Emas_Np09,1,1.0,0.0,0.0,0.0,0.13555675094136632,2,Medium Suspicion,-0.47887157532532043,Normal User
@NgajibarengGusBaha-p5y,1,1.0,0.0,0.0,0.0,0.13555675094136632,2,Medium Suspicion,-0.47887157532532043,Normal User
@nasrudinn3027,1,1.0,0.0,0.0,0.0,0.21194190424959655,2,Medium Suspicion,-0.5864762411747264,Suspected Buzzer
@RidaAlzeida,3,2.967032967032967,0.09892941189526855,1.5275252316519465,0.0,0.005558544020082482,2,Medium Suspicion,-0.7253202183519867,Suspected Buzzer
@nenghana8286,1,1.0,0.0,0.0,0.0,0.13448090371167296,2,Medium Suspicion,-0.48896509435610136,Normal User
@aiN-rx1mg,1,1.0,0.0,0.0,0.0,0.08588847050385512,2,Medium Suspicion,-0.4720978464940507,Normal User
@Kyukyu_Lovers,1,1.0,0.0,0.0,0.0,0.16908732293347678,2,Medium Suspicion,-0.5220449924253168,Normal User
@RezsyaAprilio52562,1,1.0,0.0,0.0,0.0,0.1455979917518379,2,Medium Suspicion,-0.47034783151292175,Normal User
@nenikustini3057,1,1.0,0.0,0.0,0.0,0.0979020979020979,2,Medium Suspicion,-0.43497840401214705,Normal User
@nenimulyani7987,1,1.0,0.0,0.0,0.0,0.14792899408284024,2,Medium Suspicion,-0.44462582896903136,Normal User
@RhizaPradita-p3u,1,1.0,0.0,0.0,0.0,0.12318450779989241,2,Medium Suspicion,-0.4995276885869331,Normal User
@ahtiartiar2566,1,1.0,0.0,0.0,0.0,0.08570916263223956,2,Medium Suspicion,-0.47273710879725744,Normal User
@NeymarDev,1,1.0,0.0,0.0,0.0,0.17536309844002151,2,Medium Suspicion,-0.5370177619152083,Suspected Buzzer
@aishaqiara,1,1.0,0.0,0.0,0.0,0.11188811188811189,2,Medium Suspicion,-0.48773666765452717,Normal User
@aisanpradipta2993,1,1.0,0.0,0.0,0.0,0.14703245472476242,2,Medium Suspicion,-0.45888775532657794,Normal User
@naufalsurya-yc8qc,1,1.0,0.0,0.0,0.0,0.21194190424959655,2,Medium Suspicion,-0.5864762411747264,Suspected Buzzer
@hardiharahap7964,1,1.0,0.0,0.0,0.0,0.17285278823740363,2,Medium Suspicion,-0.5369863050085987,Suspected Buzzer
@EndiEdot-f4t,1,1.0,0.0,0.0,0.0,0.23794154563385334,2,Medium Suspicion,-0.573346945431757,Suspected Buzzer
@bukharijantho,1,1.0,0.0,0.0,0.0,0.19508696431773356,2,Medium Suspicion,-0.5284406354238148,Normal User
