publishedAt,authorDisplayName,textDisplay,likeCount
2025-09-28T08:35:08Z,@NazwanPradipta,MBG = makan bergizi gratis ❌<br><br><br>MBG = makan beracun gratis ✅<br><br><br><br><br><br><br><br><br>🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫,3
2025-10-14T11:11:53Z,@DesuApan-u5f,Komenan fomo cik..,0
2025-09-28T08:21:10Z,@ristayani4516,Mas rikwes hari Senin burger mas tolong 😊,0
2025-09-28T08:17:56Z,@fandiSaputra-gq5hw,Aku gak ada MBG karena sekolah aku mahal😅,0
2025-09-28T08:09:03Z,@WidaNingsih-dp6jz,Kalau makanan mbg kalau nyasih jangan di racunin,0
2025-09-28T07:07:20Z,@AsmaAbyan,Ka gak usah empat sehat lima sempurna soalnya sekolah lain ke racunana,0
2025-09-28T06:06:11Z,@KotaBengkulu-t8q,Kak  mana vidio ngasih mbg untuk SD 22 kota Bengkulu,0
2025-09-28T01:08:45Z,@LitaHariani-i2y,Kak. SD. 4.negeri.lahat.kapang🙏🙏🙏,0
2025-09-28T00:39:55Z,@maduraduatuju,Jangan makan mbg terus,0
2025-09-27T23:29:50Z,@baiqnurdiani-ez5lu,Mau hari Senin tanggal 29,0
2025-09-27T15:52:49Z,@qoimmusthofa,Plcc kalo kelengkeng jauh jauh deh🗿😭,0
2025-09-27T14:47:22Z,@AGUSGAMING-22,Kok di sdku belum dateng tuh mbg udah 1 tahun kurang nunggu sampe mau lulus gak dateng dateng tapi Alhamdulillah deh gak keracunan😂😂,8
2025-10-19T07:24:55Z,@saa_wq,di tempat ku  gak ada keracunan,0
2025-10-19T07:25:59Z,@saa_wq,aku dapet,0
2025-10-22T05:45:01Z,@TrianMalik-c8r,​@saa_wq sama berarti yang bilang keracunan Pas makan mbg itu Belum makan mbg kan,0
2025-09-27T13:49:17Z,@Rentamirsgbufsgcxhurchuffcjj,Aku belum dapat mbg sekolahku di mi Hidayatul mubtadiin Banyuwangi balak lor -songgo,0
2025-09-27T13:47:54Z,@Rentamirsgbufsgcxhurchuffcjj,Kak,0
2025-09-27T13:33:52Z,@Azura-r7g,Makan yg lucu ya bu❤,0
2025-09-27T13:28:09Z,@AkhuJiki,Tim yg belum dapat 😅<br>👇,5
2025-10-03T08:18:02Z,@RehanPutra-n3q,Inget dulu 6th pake piring begituan🤣🤣🤣,0
2025-09-27T13:27:26Z,@MiftaHidayah-m9c,Aku dapur nya lagi di bangun,0
2025-09-27T13:23:00Z,@muhammadnurrizalhazim782,Makanan Beracun Gaes....,0
2025-09-27T13:13:46Z,@MuktinahSrihastutik,"Enaknya yang udah dapet mbg , sini masih menanti😢",4
2025-10-12T00:25:49Z,@Syafieqzakaria4980,"Mulai bulan september banyak orang keracunan MBG,HATI-HATI‼️",2
2025-10-12T03:19:34Z,@Alanfrandika-hx4ux,"Eh jangan makanan  ,m,b,g ya namaku saniyah Masi kecil udah akuajarin kamu ya😇😇🙏💗💓💘💖",1
2025-10-23T14:28:33Z,@RayieTV,takut mbg saya takut cepirit keracunan😢,0
2025-09-27T13:13:34Z,@NataniaPutri-j1l,Aku besok Senin pertama kali mbg,0
2025-09-27T13:01:58Z,@ariptajultajul3770,"walaupun byk alasan, tetap, byk makanan yg terbuang, karna basi",0
2025-09-27T12:53:16Z,@dewianggraeni3185,Aku mau dong buat senin blok rabu <br>di lapang burwet sdn burujul wetan 3,0
2025-09-27T12:47:40Z,@zubaid548,Teman aku tau buat riques terus dibuatin 🎉🎉🎉🎉🎉🎉🎉🎉,0
2025-09-27T12:30:28Z,@KeyzaSafitri-l5p,😱,0
2025-09-27T12:30:26Z,@KeyzaSafitri-l5p,😱,0
2025-09-27T12:14:40Z,@KadekDwiAwidyaBaskaraPutra,Kalo kek gitu makanan mah gw juga mau info dmn tu tempat nya,0
2025-09-27T12:06:43Z,@AlyaAlya-z4t,"makanan nya kan masih panas tetapi harus nya di tunggu sampai dingin,karena aroma makanan nya tercampur dalam keadaan panas jadi bau nya sudah tidak sedap",0
2025-09-27T11:34:23Z,@BimaReygantara,Semua sekolah beda ya jadi bisa jadi ini sehat,0
2025-09-27T11:34:13Z,@setyobudisantosa7025,Jangan kayak GT klo mbg di anter nya siang emang udah basi jadi klo menurut saya nihh ya mbgnya klo di anter siang mending masaknya itu pagi jam 6,0
2025-09-27T11:29:01Z,@KhamimAmin,Di tempatku selalu sayurnya wortel dan buahnya biasa jeruk sering,0
2025-09-27T11:22:01Z,@1360CLAN,"Dimasak subuh, dimakan jam 12... Ya wajar ga enak, sayurannya aja cuma direbus. Kecuali kalo masaknya disekolahan atau deket deket situ baru deh aman. (Maksudnya— kalo bermasalah bisa cek langsung)",31
2025-09-28T09:06:16Z,@RukaYah-j7b,Klo disekolah w itu jam 9 udh dimakan aman gk tuh?,0
2025-10-03T12:46:16Z,@iisrosmini2832,"Tergantung dapur dan pengolahnya, dapur tempat kami pk chef, ank&quot; suka antusianya bagus alhmdulillah",0
2025-10-03T14:13:54Z,@Abims-j9m,Takut keracunan😢,0
2025-10-04T18:46:10Z,@shinoba_shi,Sama,0
2025-10-12T05:53:36Z,@enggangkhatulistiwa529,"Mending dana nya di serahkan ke sekolah biar kantin s3kolah yang kelola...namun tetap di awasi oleh pihak sekolah...menu, porsi dan nilai gizinya",0
2025-09-27T11:19:44Z,@trisnantodermawan5,oke,0
2025-09-27T11:17:32Z,@redmiAdja-k1q,Aman dulu gak nih,0
2025-09-27T11:10:36Z,@henielfita,"Jngn asl bicara makanan grts adlh makanan beracun it bagi org kaya tp bgi orng yg krng mampu bersyukur krna g prnh mengalami makanan enk d rmh.jg bagi orng pengangguran jg merasa senang bsa mndptkn pkrjaan.jd MNRT kami LBH aman dpt makan grts dr PD hrs jajanan d kantin yg makan nya asa jadi sprt sari gula,🫰🏻😘😘",0
2025-09-27T10:45:46Z,@Rifatun-h7n,SD n1negara bumi udik belom Sri marga Rahayu kk 😊,0
2025-09-27T10:39:28Z,@Keysha2016,Sudah dapet😊😊,0
2025-09-27T10:37:41Z,@Ngadimin-e4r,Kalo gratis gua gk mau  mending jajan di kantin 😅😊,0
2025-09-27T10:35:44Z,@HumaEroh-di1kw,Kk terimasih enak baget makanan MBG❤❤❤,1
2025-09-27T10:34:18Z,@wakidikalkun,Mending emak gua yang masak enak dan sehat tidak beracun,0
2025-09-27T09:51:25Z,@ArfanBilal-x7c,MBG :makanan beracun gratis,0
2025-09-27T09:45:37Z,@Barra-k6p,Gw masih ingat hiu goreng😅,0
